"code","block","trial","input_noise_magnitude","inpnoise_ascending","feedback","SoC","avg_dist_trialwise"
1,1,1,"2","1","positive",3,45.9802884096884
1,1,2,"2","1","negative",5,27.928305318796
1,1,3,"2","1","positive",3,51.8420824648169
1,1,4,"2","1","negative",2,44.9827072247972
1,1,5,"2","1","positive",6,35.4174242229961
1,1,6,"2","1","positive",2,60.0084694125967
1,1,7,"2","1","negative",2,51.8759816916105
1,1,8,"2","1","positive",4,33.9080620224792
1,1,9,"2","1","positive",3,41.0885076754893
1,1,10,"2","1","neutral",1,50.8991157287999
1,1,11,"2","1","positive",2,54.8349225134224
1,1,12,"2","1","negative",3,48.1087711559327
1,1,13,"2","1","neutral",1,72.8731543159305
1,1,14,"2","1","negative",2,48.2675768638229
1,1,15,"2","1","negative",3,40.9224986158416
1,1,16,"2","1","positive",4,36.0277699426427
1,1,17,"2","1","positive",3,41.6870412890579
1,1,18,"2","1","neutral",1,99.2876963507526
1,1,19,"2","1","positive",3,37.4700041650245
1,1,20,"2","1","neutral",2,66.1943198756489
1,1,21,"2","1","negative",2,45.7775659926423
1,1,22,"2","1","negative",3,33.0408232458792
1,1,23,"2","1","negative",1,61.1119959618663
1,1,24,"2","1","neutral",2,39.5358363578397
1,1,25,"2","1","negative",2,59.4287851373091
1,1,26,"2","1","neutral",2,55.2822276947111
1,1,27,"2","1","neutral",1,46.0448084410334
1,1,28,"2","1","neutral",2,47.1230254922242
1,1,29,"2","1","neutral",4,34.5249430288923
1,1,30,"2","1","neutral",3,61.7136782637647
1,2,1,"0.5","1","positive",6,31.4980564301162
1,2,2,"0.5","1","neutral",5,27.4057204672316
1,2,3,"0.5","1","positive",7,22.5058048253986
1,2,4,"0.5","1","neutral",7,28.5732199116515
1,2,5,"0.5","1","neutral",7,19.1527072729116
1,2,6,"0.5","1","positive",7,19.4128633232012
1,2,7,"0.5","1","positive",6,30.6872945230211
1,2,8,"0.5","1","positive",6,27.6239135996946
1,2,9,"0.5","1","neutral",6,29.7044074131776
1,2,10,"0.5","1","positive",7,20.234250039273
1,2,11,"0.5","1","positive",7,17.2202547757678
1,2,12,"0.5","1","positive",7,18.174570576424
1,2,13,"0.5","1","negative",7,22.7032999360458
1,2,14,"0.5","1","neutral",6,32.9311735891481
1,2,15,"0.5","1","positive",5,31.7335282272128
1,2,16,"0.5","1","negative",7,14.3908399277518
1,2,17,"0.5","1","neutral",7,26.6735804273226
1,2,18,"0.5","1","neutral",7,20.6118043957107
1,2,19,"0.5","1","negative",6,32.2028184833968
1,2,20,"0.5","1","positive",6,28.1336277942209
1,2,21,"0.5","1","neutral",6,26.0704919943401
1,2,22,"0.5","1","neutral",7,20.4623608453456
1,2,23,"0.5","1","negative",6,33.140373843172
1,2,24,"0.5","1","negative",6,27.2594623618734
1,2,25,"0.5","1","negative",7,19.491719578597
1,2,26,"0.5","1","neutral",6,31.1198504095158
1,2,27,"0.5","1","negative",7,25.6621886701879
1,2,28,"0.5","1","negative",5,31.9312237033031
1,2,29,"0.5","1","negative",6,27.5774384481025
1,2,30,"0.5","1","negative",4,39.5985521720721
1,3,1,"2","2","neutral",1,57.5828300793109
1,3,2,"2","2","neutral",3,49.8658027204553
1,3,3,"2","2","positive",2,54.1800465993137
1,3,4,"2","2","neutral",5,32.618805458585
1,3,5,"2","2","neutral",4,41.2416159293497
1,3,6,"2","2","positive",5,34.4672379688459
1,3,7,"2","2","negative",3,49.2047718237269
1,3,8,"2","2","negative",3,50.9834803798936
1,3,9,"2","2","positive",3,47.1218224707626
1,3,10,"2","2","positive",2,47.953088072387
1,3,11,"2","2","positive",3,58.113265029455
1,3,12,"2","2","neutral",2,35.7009839456975
1,3,13,"2","2","neutral",3,52.3276725422633
1,3,14,"2","2","neutral",2,41.1143569712641
1,3,15,"2","2","negative",2,42.2707949483288
1,3,16,"2","2","negative",1,52.1134630323989
1,3,17,"2","2","neutral",2,40.6927876509141
1,3,18,"2","2","negative",2,37.4813088526805
1,3,19,"2","2","negative",1,49.7895540596821
1,3,20,"2","2","negative",2,37.3911090797321
1,3,21,"2","2","neutral",1,61.5515264824025
1,3,22,"2","2","neutral",1,73.4607493140559
1,3,23,"2","2","positive",2,45.726821573994
1,3,24,"2","2","positive",1,72.5846434680681
1,3,25,"2","2","positive",2,38.0195383040308
1,3,26,"2","2","negative",3,40.8540647713089
1,3,27,"2","2","positive",1,48.2749882181343
1,3,28,"2","2","negative",2,89.6013170117342
1,3,29,"2","2","negative",2,46.6438792204648
1,3,30,"2","2","positive",1,40.1962317951263
1,4,1,"2","3","positive",1,58.228626236041
1,4,2,"2","3","neutral",2,55.6681217792715
1,4,3,"2","3","neutral",2,55.225458799502
1,4,4,"2","3","negative",1,74.3058291138137
1,4,5,"2","3","negative",2,54.8558787607654
1,4,6,"2","3","positive",1,47.0650762272786
1,4,7,"2","3","negative",3,38.1633406376925
1,4,8,"2","3","negative",3,49.6577489840467
1,4,9,"2","3","positive",3,39.4232760979189
1,4,10,"2","3","positive",3,37.2127671662352
1,4,11,"2","3","positive",2,41.3656712036606
1,4,12,"2","3","positive",3,43.4512755042837
1,4,13,"2","3","positive",3,46.9110291531819
1,4,14,"2","3","neutral",2,38.6593299897261
1,4,15,"2","3","positive",3,61.0659448542445
1,4,16,"2","3","positive",4,59.2603911120433
1,4,17,"2","3","positive",1,73.0742942721109
1,4,18,"2","3","negative",1,33.0842201869931
1,4,19,"2","3","neutral",2,64.9434304011626
1,4,20,"2","3","neutral",2,56.2625418785855
1,4,21,"2","3","neutral",2,46.0481680221289
1,4,22,"2","3","negative",2,44.439547393475
1,4,23,"2","3","negative",2,32.1997843954214
1,4,24,"2","3","neutral",2,28.3934576977163
1,4,25,"2","3","negative",2,41.9067073844527
1,4,26,"2","3","neutral",2,51.8984188891653
1,4,27,"2","3","negative",2,45.4060529094387
1,4,28,"2","3","neutral",2,36.4560248361357
1,4,29,"2","3","negative",1,51.1457626003146
1,4,30,"2","3","neutral",2,41.4621819268627
1,5,1,"0.5","2","negative",7,14.4900837139996
1,5,2,"0.5","2","negative",7,16.0543528190265
1,5,3,"0.5","2","positive",7,21.5544589940367
1,5,4,"0.5","2","neutral",6,23.5441805921042
1,5,5,"0.5","2","positive",5,34.6859200655578
1,5,6,"0.5","2","negative",7,21.3861384176046
1,5,7,"0.5","2","neutral",6,17.7364423081203
1,5,8,"0.5","2","negative",7,26.1935443210371
1,5,9,"0.5","2","neutral",7,20.4279245110703
1,5,10,"0.5","2","neutral",7,27.5191280978045
1,5,11,"0.5","2","neutral",6,28.4946434444958
1,5,12,"0.5","2","positive",5,35.6664385580575
1,5,13,"0.5","2","neutral",6,32.2694249657629
1,5,14,"0.5","2","negative",6,25.8893937188727
1,5,15,"0.5","2","neutral",6,25.4662195986084
1,5,16,"0.5","2","positive",7,26.0882478081867
1,5,17,"0.5","2","neutral",7,21.1803182206173
1,5,18,"0.5","2","neutral",7,22.7352856744541
1,5,19,"0.5","2","negative",5,36.9936257603465
1,5,20,"0.5","2","positive",5,26.0966011734396
1,5,21,"0.5","2","positive",6,28.2818695950708
1,5,22,"0.5","2","positive",6,20.4676694429949
1,5,23,"0.5","2","neutral",6,27.5573177653209
1,5,24,"0.5","2","negative",6,27.9670640770391
1,5,25,"0.5","2","positive",7,21.619524836185
1,5,26,"0.5","2","positive",7,20.7322237352846
1,5,27,"0.5","2","negative",7,21.1210643951713
1,5,28,"0.5","2","positive",7,22.1279779181515
1,5,29,"0.5","2","negative",7,28.8357356409181
1,5,30,"0.5","2","negative",7,24.2755068334217
1,6,1,"2","4","negative",4,40.1530577727207
1,6,2,"2","4","positive",4,37.8651996234572
1,6,3,"2","4","neutral",2,56.0946737653866
1,6,4,"2","4","positive",3,35.7753135162647
1,6,5,"2","4","neutral",2,28.9404692455398
1,6,6,"2","4","positive",2,48.4699439357334
1,6,7,"2","4","positive",4,40.620865887559
1,6,8,"2","4","positive",2,33.142760456022
1,6,9,"2","4","neutral",2,45.1763992730971
1,6,10,"2","4","negative",2,22.458802825231
1,6,11,"2","4","positive",2,67.4897081496245
1,6,12,"2","4","positive",2,38.5919747907751
1,6,13,"2","4","negative",3,41.8235183777131
1,6,14,"2","4","positive",3,42.4302132845418
1,6,15,"2","4","positive",2,31.5310555896603
1,6,16,"2","4","negative",3,53.2521125843292
1,6,17,"2","4","positive",3,28.9469721509271
1,6,18,"2","4","negative",3,54.7584941383121
1,6,19,"2","4","neutral",2,24.4456581577398
1,6,20,"2","4","neutral",2,44.5623921765254
1,6,21,"2","4","neutral",1,55.2804309163554
1,6,22,"2","4","negative",3,46.3789826114632
1,6,23,"2","4","neutral",2,47.4248839408404
1,6,24,"2","4","negative",2,38.621357042958
1,6,25,"2","4","negative",1,51.0264002195822
1,6,26,"2","4","neutral",1,53.9313200903496
1,6,27,"2","4","neutral",1,51.4550727659447
1,6,28,"2","4","negative",1,46.8443741708704
1,6,29,"2","4","negative",3,31.632649461286
1,6,30,"2","4","neutral",1,43.5963661933943
1,7,1,"0.5","3","positive",6,23.0810418142505
1,7,2,"0.5","3","negative",5,23.5256141440956
1,7,3,"0.5","3","positive",4,31.7786966957191
1,7,4,"0.5","3","neutral",5,20.9379989459144
1,7,5,"0.5","3","neutral",6,21.1754610322638
1,7,6,"0.5","3","positive",5,26.1853963323137
1,7,7,"0.5","3","negative",6,28.6770932496033
1,7,8,"0.5","3","neutral",7,17.8755206424584
1,7,9,"0.5","3","negative",7,25.4354729470975
1,7,10,"0.5","3","positive",6,24.7207277545527
1,7,11,"0.5","3","neutral",6,29.3139108366702
1,7,12,"0.5","3","negative",7,19.9059260295251
